Replicate,Planner,Case,Result
0.0,1.0,1.0,0.7500000005672389
1.0,1.0,1.0,0.7500000462296936
2.0,1.0,1.0,0.7500001644365604
3.0,1.0,1.0,0.7500000467028168
4.0,1.0,1.0,0.7500000002222925
5.0,1.0,1.0,0.7500000183261951
6.0,1.0,1.0,0.7500000065218235
7.0,1.0,1.0,0.7500001665116451
8.0,1.0,1.0,0.7500000006133491
9.0,1.0,1.0,0.7500000020319227
10.0,1.0,1.0,0.7500001567776347
11.0,1.0,1.0,0.7500000701811772
12.0,1.0,1.0,0.7500000966191398
13.0,1.0,1.0,0.7500000003547856
14.0,1.0,1.0,0.7500003200348015
15.0,1.0,1.0,0.7500000036117312
16.0,1.0,1.0,0.7500002520741964
17.0,1.0,1.0,0.7500013834875379
18.0,1.0,1.0,0.7500000270521634
19.0,1.0,1.0,0.750000002579132
20.0,1.0,1.0,0.7500022862725256
21.0,1.0,1.0,0.7500000259541896
22.0,1.0,1.0,0.7500000003465689
23.0,1.0,1.0,0.7500000002263807
24.0,1.0,1.0,0.7500000010331078
25.0,1.0,1.0,0.7500000064623911
26.0,1.0,1.0,0.7500000174178899
27.0,1.0,1.0,0.7500000096268677
28.0,1.0,1.0,0.7500000254451111
29.0,1.0,1.0,0.7500000585583274
30.0,1.0,1.0,0.7500001119264696
31.0,1.0,1.0,0.750000001864553
32.0,1.0,1.0,0.7500000619189007
33.0,1.0,1.0,0.7500002183580643
34.0,1.0,1.0,0.7500000003366677
35.0,1.0,1.0,0.75000002310896
36.0,1.0,1.0,0.7500031589104429
37.0,1.0,1.0,0.7500000003729078
38.0,1.0,1.0,0.7500004099284218
39.0,1.0,1.0,0.750000016736497
40.0,1.0,1.0,0.7500004334485674
41.0,1.0,1.0,0.7500000376511871
42.0,1.0,1.0,0.7500000508463759
43.0,1.0,1.0,0.7500001840822638
44.0,1.0,1.0,0.7500009153304096
45.0,1.0,1.0,0.7500000000255129
46.0,1.0,1.0,0.750000169289617
47.0,1.0,1.0,0.7500000006919443
48.0,1.0,1.0,0.7500000057343854
49.0,1.0,1.0,0.7500000453738531
50.0,1.0,1.0,0.7500002019447326
51.0,1.0,1.0,0.750000066063217
52.0,1.0,1.0,0.7500000391383869
53.0,1.0,1.0,0.7500000175979623
54.0,1.0,1.0,0.7500023533967615
55.0,1.0,1.0,0.7500001361302099
56.0,1.0,1.0,0.7500000558782846
57.0,1.0,1.0,0.750000019855439
58.0,1.0,1.0,0.7500005700154909
59.0,1.0,1.0,0.750000077193502
60.0,1.0,1.0,0.7500000105964604
61.0,1.0,1.0,0.750000014045932
62.0,1.0,1.0,0.7500000000166505
63.0,1.0,1.0,0.7500000001216773
64.0,1.0,1.0,0.7500000000777709
65.0,1.0,1.0,0.7500000107269489
66.0,1.0,1.0,0.7500000009006156
67.0,1.0,1.0,0.7500000423106141
68.0,1.0,1.0,0.7500000261308352
69.0,1.0,1.0,0.7500000026966415
70.0,1.0,1.0,0.7500000293736541
71.0,1.0,1.0,0.750000077761375
72.0,1.0,1.0,0.7500000609747579
73.0,1.0,1.0,0.7500012524913913
74.0,1.0,1.0,0.7500003096340784
75.0,1.0,1.0,0.7500000655268431
76.0,1.0,1.0,0.7500000692817735
77.0,1.0,1.0,0.7500000094263095
